Username,Comment
@niharhingrajia8606,"The most important point i have is, please dont lose your primary aim. I think your channel must focus on large-volume-high-quality content than low-volume-netflix-level-content. Whatever u decide, please dont decrease the frequency or depth of the content. Rather i strongly feel that your viewers are ready for even more frequent and more in depth videos (maybe u can raise a poll about it).

Recommendations regarding the video quality can include better visual graphics and a better backdrop behind your chair.

Please hear me out. I feel your production quality right now is perfectly serving the purpose of giving better knowledge(i never felt even once that your video quality is bad or even mediocre). Why fix somethig that isn’t broke. My MOST IMPORTANT recommendation is to increase the number of videos and their depth. I think the net value addtion of your channel will increase the most if you increase the frequency and depth of videos

Also I just want to let you know that this content has been adding so much value you cant even imagine. Thank you so much for everything. Waiting for the next video😄"
@pratikpanchal7276,Incredible lessons!
@Bledi838,Not just Wework but all USA AI is a super bubble.
@jaydatbhatt7892,Super 👍
@HEMANTSHAHU2929,Good video bro!!
@KNIGHTika,Salute
@datasciencepassions4522,Great Insights!
@tradelogic8679,"For this type of aspects only we have a concept known as, ""RELATED PARTY TRANSACTIONS"" in Auditing"
@ashishkgp,"Companies focus on different directions (office alongwith gym, resaturants and what not) : Can be doomed and can also be success story at different scenarios : It all depends on the Strategy Committee's research and the timing"
@meghnadas.mp4,"This man deserves all the recognition he gets and so much more.Such crisp,clear and engaging explanation.
Kudos to the video editor.Great visuals!"
@KaliaMohapatra-zp9vn,"From economics point of view, dollar as a currency has demand in world Trade and foreign loan.. don't worry, if they will move towards bankruptcy, they will print dollars and give cheap loans to countries like Pakistan, srilanka, without even circulating the money in economy.. business talks about what is visible.."
@PulkitMehrotra14,Awesome sound effects...used airpods and it was next level. Great going @thinkschool...keep moving and growing
@sagark3174,"1 takewaway from Wework case
Talent is replaceable, but INTEGRITY is not."
@frugaleconomist99999,Entrepreneurs these days seems to have forgot the core purpose of value creation. So we see huge payments to founders from so formed companies which regulators has to watch them closely
@ayushgupta9631,Thank you for making such knowledgeable case studies. You guys are really doing the great work.❤
@natarajbeelagi569,Make a case study on Nikola.
@frugaleconomist99999,Could u pls make a case study on Sequoia Capital
@Sujit321go,❤
@rajsingh-lr3nd,I still see covid screwed we work
@delhiuniversityworks2973,... Because this teaches you how to build a disastrous company 😂😂😂😂
@gnaneshagastya5640,We didn't work🥲
@omkar._.k,"I can clearly notice how your team is working so hard 
One notice I did is you added key points in the last learning section which makes it easy to prepare notes🎉"
@unmeshambre8817,Indeed a very informative and indepth video.
@csr44,Editing team surely did a great job 👍👍
@chiragi2190,I worked in wework office concept is good but most of the offices are empty only low demand is the reason for this bankruptcy
@SpricesExist,"Great video, as someone who has edited professionally before the editing was superb. But your background/chair/having the mic in the frame definitely doesn't go as well as it could with the rest of the video. Try a shotgun mic out of the frame or a lapel mic. I know the sound quality will not be as good, but try experimenting with it once."
@harshitdaga9804,"""Frugality is not a trait of the impoverished but a hallmark of the wise.""  

~Think School"
@bricksinister702,Out of context: A small opinion of mine please change your chair. Keep a warmer colour one which matches with the background this is too bright and looks gaming. But the content is 10/10
@juhinjustus,"In this era of patience less viewers who seek satisfaction in 30/60 seconds through short duration contents(shorts/reels). Your videos have the potential to pull people and make them watch the whole video with patience even it's 20+ minutes long. 
.
.
I have experienced it. 
Now i prefer long contents over shorts/reels because of you @ThinkSchool. 
I got love towards Business case studies because of you.
Thank you for everything guys. Keep enlighting ✨."
@KapilMarwaha,"Just superb !!! 🎉 
I love this channel. Appreciate the hard work in researching the case study, editing, audio , music editing, graphics.
It’s a treasure . Please keep up the good work ! ❤"
@Nayan011,Just amazed by the quality of the video content . I am watching this channel for a year and now I am getting more information in less time. The Editing looks premium and the colour combination is nice.
@mahanmohan,"This was a very good case study. Would ve appreciated more if the emphasis was on unit economics failure. As in, total sqm under management.l, revenue per sqm and cost per sqm, debt per sqm etc economics in reality for Wework and it's peers would ve improved the viewers understanding. SPAC was a new concept."
@goudhamg7496,Been following the channel for quite some time. You guys do really an amazing work! Very Informative! Thanks man!
@pradeepkumardharmasivam2239,Great work with nice explanation.🎉 Keep up the good work guys
@vimalpalanimuthu2824,Hi I graduated in 2021 and since then I'm preparing for bank exams but I don't really like to pursue a long term career in it but due to the responsibility of a typical rural youngsters and the first gen of my family to get proper education I couldn't risk it . But I'm watching what are all I'm interested in the videos you are uploading and I hope one day I'll get the support and courage to seek what I'm passionate about and do something else till then I'll keep on upskilling and search for a value based profession that will quench my thirst in career . Also thank you so much for giving the exposure in various fields it means a lot ❤
@rhythmrimal8818,His greed of more and more Led to his downfall
@vighneshbattu5895,This gonna be one of the best videos of thinkschool
@afzankaleel2382,"Does thinkschool have a podcast?? If not , pls consider it"
@yatharthsinghal3211,Just how easily you explained this concept of SPACs.
@abhirajsutar8260,"Providing feedback on the production quality as per your request.
I liked the palette and animations and also other production quality. We have been following the channel for 2-3 years now.
The quality has only increased over time. I personally care about the video content in terms of Details, explanation and video structure. So that has always been your plus point. The content is what I personally care about not about visuals much. Like the base animations work just fine for me. But the sounds do matter to me, it drives the mood and tone of the video. And you did a great job for the sounds. This video was very very sound layup heavy. I don't want it. Basic tones and mood inflicting music are just fine. If processing the 170 sounds was difficult for your team, it's fine even with 50 sounds if the 170 was an overstretch for your team.

Rest is your decision, Netflix has a big budget for video producers to hire Sound Engineering firms. That's not your budget value, it's YouTube you primarily focus on.

All of this, just my opinion. I am not into Video production by profession but do watch a lot of documentaries and educational videos in Tech, Business and Geopolitics. Viewers Opinion!!"
@satheeshmarichamy6115,"As usual, good effort & awesome delivery!"
@ettringite99,Sounds like Adam Newman and the board were little better than crooks
@chiraagsoni930,Awesome work man!! I’m watching and learning since the steve jobs video and since then I have watched every single video. Hope you’ll make a video on me and my company one day.
@MadirajuKChaitanya,"Think School is a One Stop solution for me to get Tech and other Domain's information. Any major event happens in the world, I turn to Think School for a Good Perspective.
Please keep up the good work.

If you have not already created a video on Open AI,Sam Altman and MS, request you to create a video on this topic too.

Thank you 👍😊"
@chandrakantsimpi5918,"Hi Ganesh, your videos are very informative, please create videos in kannada too."
@vedd2603,It's difficult to watch 20min video with low attention span nowadays. Agree?
@rahulraj_yt,"If possible please change the color of your chair cover, is very bright, catches attention when i am listening to you and most importantly gives vibe of being radioactive. Amazing and informative video btw."
@samhithkanneganti4520,"Hello Mr.Ganesh,I literally enjoy your every video.Each of your videos are so informative.
My question is ""If wework cant able to do it then how does REITs like embassy office parks etc can actually generating profits?"""
@YashMishra-zl8ur,The same reason why many Gov't schemes fail in the world.
@mohansanju45,"there is one thing that thinkschool can try to compete with netflix,  
that is addition of direct interview with company management to your format, 
if its face to face its even better than videocall.
thank you for inspiring greatness (I mean it.... you guys really do!)"
@businessanalysttamil,I'm business analyst your video so much useful even the complex things explained in simple terms
@gokulkumar2707,One of Most value creation YouTube channel I come across 🎉 kudos to the team 👌👌
@Wise.Webmaster,"At @7:23 you shall tell, US govt  print unprecedented dollars (Fiat currency) that were not in proportion to the gold reserves. 
I wonder why this case study is missing  this"
@amishkukudkar2343,"Really worth the time , fantastic!"
@keshavbudhavant3813,"Your Video presentation quality increased, but content quality Decreased... Just like daily soap, You gave more focus on BGM."
@armadillo_n1,Great work
@samarthshahu3293,"Wow, that was so knowledgeable... could you pls share the name of the book you read on HDFC bank?"
@anyoutv7888,I AM LEARNING NEW THINGS FROM YOU. THANK A LOT THINK SCHOOL
@Parthipanx7,Really worth of watching
@historyoptional8333,I think that the office utilization will rise up again in some years. Work from home has its own demerits.
@KinshukJoshi,"Think school ... team... No, I won't name individuals.
Growth is imperial to any company, but ethical practices make one go really long way.
I could count the different sounds upto 110.. but 170 is mind boggling.. kudos to your editing team, superb work down by them.

Only one submission, if you could use company logos and names of people  instead of their pictures.
Reason, someone may get offended, if their permission is not sought.
Better safe than sorry.

Eagerly waiting for your another case study esp on Indian companies. Like Pharmeasy-thyrocare acquisition and many more... 👌🏻👍🏻"
@shannu1927,Next decade we get zepto as we work
@vishaltripathi3316,think school is the right place to understand the essentials...
@abhisekbose1221,I have a suggestion. Change the chair color it doesn't match the ambiance  .
@peddireddyvarshith6992,Great business analyss ❤. Expecting more such analysis.
@madhukumar-qn8up,Please do a case study on my forex funds downfall.
@nagendraj8837,"I think the same happening is happening in andhrapradesh state where Andhra pradesh government is we work and ceo is Jagan Mohan reddy and other mla members.
For example ap government giving houses to poor people, the land where houses were constructed belongs to members of party sold to ap government at high prices and of course everyone knows the brands of liquor sells in ap which are not available anywhere in india😂😂😂"
@ajeez1,"@think school , what is the book which you read on HDFC Bank"
@namitadey5597,I have been watching most of your videos. It's really fantastic 👌. We can easily gather lots of information from your wonderful videos.
@harshadashinde259,Just like always rocked bhaiya ❤❤❤
@GeniusAjinkya,"Brilliant case study as always Ganesh, hats off. 
1. Sustainable growth should always be prioritised over rapid expansion.
2. Never mess with supply and demand factor, otherwise it will mess you up.
3. An org can never survive when the roots are corrupted, in this case, Neumann.
4. Always be on the lookout for developments that are about to mess up your business model, in this case, covid lockdowns and rise of work from homes."
@ronakgala6627,"Such a detailed analysis!!
Kudos to the research and the editing team for making such interesting videos which are filled with knowledge and are visually appealing too!"
@rohitchakrabarti4189,Too much happening - keep it simple. Cut the crap!!
@arondsouza8942,Mehnat 🎉🎉
@visible_minds,I would love a case study on theranos as you are such good teacher
@prachuryaray9034,Next Level. Would be great if few sec of cofounder interviews would have been added. Netflix Level ❤
@srimaestro,Thank you! This is good!!
@srikanthd2814,"hey brother  , please upload a brief case study on Byjus as well"
@hemanthgorle419,Do a case study viedio about srichaitanya and narayana schools which they had 1000s of branches India .
@IND_Doraemon,By'jus of USA
@vivekjetpariya9923,❤
@thyagarajankrishnan6099,"We work ""Vision"" - We work to make your money disappear"
@sanjaymahato4522,"As always your analysis of this business oriented topic is spot on. And yes i did get the vibe of cinematic screen and unique sound effect in this video but realised it after reading it in description. And if you are talking about what to improve , imo please give your view on how businesses , indigenous or foreign which go on to become a unicorn or stay small or even gets bubble bursted , affect the dream of 5 trillion dollar dream economy of india with a new and unique perspective. Just a suggestion.  Even if this won't reach to you , i still think no one could do a better job than you in explaining the why in current big businesses getting success  or failure. Thank you for your service ."
@vinitparmar926,Man it was blazing. 10/10❤
@vijaykumarwali7509,"Sustainable development, financial discipline.  Golden rules for life beyond finance"
@paragpatel8381,Bhai ye banda US ka vijay Malya tha...he was living luxuriously
@pranayborupothu769,Awesome video. Think School always do great job.
@nihalgurjar876,softbank was responisble for making wework a bubble which bursted badly .
@amanraj05,WeWork in India is profitable
@TheF50i,"If you ride like the lightning, be prepared to crash like thunder as well."
@varunprakash6207,We Work company Bankruptcy The Lesson should be learn is Financial discipline & Expansion of company with understanding demand & Supply and calculation of spending money more over top CEO is unethical means company co-founder Get Rid of company Think school 🏫 Case studies about We work Bankruptcy and Business lessons for Entrepreneurs
@navneetkalia,The explanation at 17.59 is getting a bit confusing. Could you please revisit?
@pronoyghosh,"Wework India is actually doing very well and is generating growth and profits according to their CEO Kiran Virwani ,
""WeWork India’s Virwani said that despite the challenges brought by the pandemic, the Indian arm emerged profitable early last year. He said that it ended FY23 with a revenue of INR 1,400 Cr and INR 250 Cr in earnings.""
Can you make a part 2 of this video highlighting what wework india did right. 
Thanks a ton for your videos, they really help in understanding complex concepts in the simplest ways."
@ysaiakhil4635,Hey what was the book you read on HDFC bank
@kaushikdutta1,"Such shared space concept was There in kolkata post independent...small companies has been running based out of one table and hair...
Those were basically brokers"
@ajinkya820,Adam was another Vijay Mallya ..
@athrvanaik5036,Please make a case study on global food chains like dominos or subway
@cittarsk,"Hi think school, please make a case study on Sahara group"
@mrkuldeep8658,"It was a wonderful video as we expect always brother but you didn't tell the names of sponsors during SPAC😶 

Was that only SoftBank?"
@sunilransubhe,"Just wondering where were expert analysts before this happens?
There's a real need of a business school who teaches these kind of practical and futuristic things."
@vedantmungre1702,I'm not a fan of Apple's products but I definitely love their *business* . The company and its processes are an inspiration for me.
@Wendydwakeman,🎉Hit 200k today. I'm really grateful for all the knowledge and nuggets you had thrown my way over the last months. Started with 14k in June 2022😊
@RebelIndia,I have question since you're using news Video from multiple outlet while explaing the News.
@mity521,Kingfisher airlines..
@VipulShukla2708,BHIA KYA VIDEO BANATE HO MAJA AA JATA DEKHNE ME
@AnimishHendre,Can someone please tell the HDFC book name mentioned in the above video?
@Singhroar430,What was that black cusin or design on his chairr. That disturbs me
@T_NAVEENT,"Hi bro, after consistently watching your videos  for nearly more than 2 years, now I am able to understand the story behind the numbers and also able to get a holistic picture of how businesses work and how nuantical things play a big role, etc....,

But one request, please make a video on how to do research? even though things got clearer as I kept on learning, I thought something was lagging to make a big decision out of it, if you help us by making a video for that, It will be very helpful for us.

Because, when I read an annual report, it seems too overwhelming, it's not that I am not ready to spend enough time on that, It's that I don't know whether the thing I am doing is correct or not, also, I saw in our videos that there are different sources for information containing graphs and data, how would you get that, where to look at for reliable information and so on......

I hope you'll help us. Thank You."
@akhil_sharma3,"I don't know why he didn't talk about the infamous printing machine of the Fed! He didn't say that the Fed kept printing notes and threw them at the public, which led to artificial inflation of the start-ups.

Not sure if he missed it deliberately or it didn't come to his notice! Either way, the information delivered is incomplete!"
@omiehahaha6194,What about GM 80 BILLION DOLLAR bankruptcy & USA govt bail them with 40 billion dollar!
@medhashreegovindarajan6131,Thank you so much for sharing such a valuable message
@vinodhiliban,Thanks for those interesting piece of work. Leaned few new things
@shaikashish4058,Very complex video.😢
@SuperiorCake386,Who cares he walked out being a billionaires its not a failure he's richer that  billions of people in this planet
@shikshapandey8196,"I don't understand why wework bankruptcy came as a shock ,from rhe very beginning only it was a shaky and whatever the shiny thing was from outside ,entrepreneur is a kind flamboyant type ,didn't much focus on rhe core ,instead he was  shine the business from outside, and when he got the huge investment ,trying to expand without the string goodwill"
@ramchallenger2658,He should have moved to wework hospital 😅 before or during the pandemic very traditional way to make them trusted.
@nikhiljain407,❤❤
@trkartik7633,"In Jayanti group which is a tea & spices company, the tea that was given to employees was so thin that even water cudn't beat that tea. The tea that was served to employees was made from tea dust & not tea powder. Frugal to the core. All the time the company made no cuts to austerity & superstition."
@hemhaka2642,"Tesh startups, unicorns all end up like these, super valuation without profit. Zomato, paytm investors take stock!"
@medicobuddy,"00:03 WeWork went from a $47 billion valuation to bankruptcy in just 4 years, teaching us important lessons in business.
02:10 Rental expenses remained heavy on American companies during the 2008 recession.
04:20 WeWork capitalized on the demand for shared workspaces and made profits by splitting a single space into multiple units.
06:18 WeWork took advantage of the booming real estate market to attract tenants for its office spaces.
08:18 WeWork's rapid growth led to huge financial losses, accumulating over $15 billion.
10:26 WeWork's downfall was caused by fast expansion, demand-supply mismatch, excessive investment in leases, and failed side ventures.
12:31 WeWork's downfall was accelerated by the pandemic and mismanagement, leading to financial losses and unethical behavior.
14:40 WeWork faced staggering losses and financial problems, leading to a failed IPO and the need for a turnaround.
16:46 Using a SPAC, Alpha Corp raised $200 million to acquire a struggling AI software company, Beta Technologies.
18:33 WeWork used a special purpose acquisition company (SPAC) to raise money and avoid the traditional IPO process.
20:21 WeWork filed for bankruptcy due to decreased demand for office space and outdated business model.
21:59 Getting rid of unethical co-founders is crucial to the success of a company.
Crafted by Merlin AI."
@hoshankumaran,i think zomato turn like this[wework] after ONDC and SWIGGY
@hiteshgujarathi4636,"I had same experience in my first start up with my cousin. 
He had two tucks for commercial use and when we started company which export vegetables in uae, when we got our first investment of 2.4 lakh, this dumbass used 30k out of thay investment on buying new second hand vehicle and when we had problem with our first shipment and got delayed and our products got damaged we did not only lost the money of investors but we had to pay to our investors outta our own pocket and i had to bear that loss. 
Can you imagine he is 4th class marine engeneer. 
Thats why, just because someone is academically inferior doesn't make him better businessman. 
The basics of business are very simple yet very hard to understand and very difficult to master. 
This case study reminds me that whole absolute mess of a venture and i learnt that in very hard way."
@quiteintresting1916,We work lunatic
@pushupmaths3465,"Sir..it's not ""they buyed"", it's ""they bought""..
Thankyou"
@amansoni8187,What is the name of book which you are reading on HDFC ?
@svm6683,Sam Altman
@RahulKumar-wl5yx,nice copy from The Wall Street journal
@dipakjha6446,Book name on hdfc bank plz.
@dholakpurkirakhi434,soft bank is investing In Paytm and OYO too
@kevalkumar9694,Excellent business documentary with good inputs.
@somu.mondal,Content is mind blowing ❤
@ritikagnihotri3308,Nice interview and reason u all gave after the wc final...ur interview is currently trending on reels😂😂😂
@lifestylediet1530,"Hi bro... really love your work. I think in near future you should start a consulting company as you have deep insights in various fields..As USA got McKinsey, JP Morgan, Deloitte, BCG etc .India doesn't have any. I think Consulting industry is a trillion dollar opportunity as india is now a booming economy and many businesses can't afford those big giants. I just want to share this idea with you . I may be wrong also.All the best for your future endeavours"
@closedinfinity9019,"It was Going to fail , no matter what"
@shotstoriess,Congratulations....downfall of unicorn 🦄 started.....
@rajarammohan.k7964,Is there any difference between SPAC and holding company?
@bloodthirstyworks,I read that WeWork in India makes profit. If its true can you make a video on what they did different?
@sharedplayaccount,What do you expect from a guy who looks like Trudeau?
@jing6581,Good one man. The way you give examples is the best way to make you audience complex stuff. These type of techniques are even used by professors when they are over some heavy topics. Keep it up ! 🎉
@harshvardhanamle1641,"I personally never found wework spaces affordable specially for startups. Freaking Rs 20,000 per seat per month? I am a startup founder , n even if I earn  millions, would never pay that amount."
@BJPRSS0131,ThinkSchool == BJPSchool == AdaniSchool ==RSS school
@petersunny4481,Valued is different from cash in bank. Business people must learn from old people who become millionaire in 20 years rather than a billionaire's in 2 year without having single penny in bank.
@SaiLobo801,"Since I started investing in crypto currency I invested $9000 and my profits are $35,000 every 12 days and i never lost money on crypto.😊"
@logesh5213,"This type of animation is very distracting, can not focus on what your saying and sync with screen visuals, your old style was fantastic compared to this new edit style."
@nikhilshikarkhane972,Thank you for explaining how it got listed
@amitojsinghsethi8553,Is Adani group a WEWORK in making ?
@shivambajpayee5801,"Wework was a good idea which  works well in bubbles and higher abstraction levels. Shared coworking space is good thing if neighbours watch your back and gradually create specialised products catering to each other and broad market as well as shared administrative and network costs prevents revenue bleeds on parasites like lawyer, clerks and marketer"
@evilmonkeygaming7200,"wow seem's he had it all figured out from the start, raise the cow until it falls over dead from over milking"
@paraguike679,Satyam IT company Owner also did the same thing !! Nice content !
@kunaldoshi2723,@thinkschool the colour of chair is disturbing and irritating.
@subhadippal7889,I am not even from a business background but still loving it ❤
@vipashapmehta,Wow @thinkschool ! What an amazing video - usually people keep on telling us what to do but hardly somebody ever tells what not to do!!! Kudos to you for making such a detailed case study. We want more such video from you!!!! Keep up the great work! Hopefully one day u will cross 100 million subscribers soon!
@CSAkashBothra,After long time liked ur video
@ABHISHEKBUNTY8,"Just to add, India doesn't allow IPOs through SPAC, it is only allowed in USA."
@karthekeyanperiyasamy3093,Dedollarisation along Indian traditional values of running businesses might be need of the hour to bring in Bharathiya value of creating wealth.
@ahamrohan580,Beautifully explained ❤️
@priyanshchanchani,"Beautifully explained, keep them coming! ❤

On the other hand, WeWork India has been doing fine. They are backed by the Embassy Group and have been profitable since 2021 as per an article by Livemint. Also co-working space in India has been on a rise with no signs of slowdown."
@Vik813,Thank you so much Think school for giving such a valuable information backed by solid research ❤🙌
@harishgopal7472,"please post a case study on mishtann foods, on their basumati rice expansion to the middle east"
@bharatavarsha10k,Another blockbuster masterclass case study by TS...❤
@kabirsuhalka6342,LOVED IT
@subhadippal7889,Same as Byjus
@coldemail7351,Amazing case study
@fawaztc5763,Gem 💯
@rahulengineer8194,Most important lesson was hiding in the bushes and it's as an entrepreneur you know where your company is headed enriching yourself before a catastrophe
@ketansalve9220,"One important point is left, we work India is profitable"
@gurutrainer568,Great efforts !!! Request: If you can make video in hindi then even my mom would watch your videos
@BaniyaHoon,I ll pay someone who can teach me video editing like this on a video editor  software on windows
@garvgupta7658,Next topic - What's happening with USA (foreign) Wind Energy companies. There is some sort of crisis in wind energy globally. also compare with indian wind energy companies (like suzlon)their prospects and what are they doing to cope up those issues.
@manayuadyant5809,Bhai example mei bhi adani hi hai 😅😂😂
@kayrazpatel,I do enjoy your work and keep up the good work think school
@rahulsingh40g,"""Struggling AI software company"""
@mathguy198,Thanks❤
@therealthing5849,That's why sustainable growth is very important.
@meiomi5892,Great idea wrong person
@huzaifadhorajiwala734,SUPERRRR.......
@user-mt1qc3ux9x,The main villian was pandemic
@sakshiyadav304,❤❤good work
@prathamesh3_,"I saw your frustration about the WC final loss , it's been viral on Instagram 😢😅"
@aryamanchaudhary6869,Where is Ashneer Grover who was defending Adam Neuman
@Prathu2003,Which book are you reading on hdfc bank?
@vikasmishra6058,Very boring and too long so technical
@ajanthk9531,"Not invest in spac
Invest in companies going public via spac. 
Correct me if I'm wrong."
@azoshin,"The reason for WeWork failure was that their real estate work was nothing unusual & had no competitive advantage compared to others. This long-term lease to short term model was nothing new. But WeWork tried to claim that it was a tech company using tech as a competitive advantage over others. They were yet another technology company trying to change the world.  Venture Capital funds were delighted and drank the kool-aid. This was a scam, plain & simple.  No different than VC funds enamored by Sam Bankman Fried and FTX. Except they scammed VC funds and not consumers and the VCs gave him a golden parachute to save their skins in the IPO"
@nithinkrishnav.s5394,Really appreciate your efforts creating such a transparent case study.🎉
@NITISHBHATT008,it was bound to happen...sooner or later...
@kdgupta7409,Company ka diwala nikal gaya fir bhi munafe me hee 😂😂😂 this statement come true
@SUBHADEEP_SASMAL,"""Investing 22 minutes taught me A to Z about WeWork and how they grew up and then faced a downturn within a short period. Also, how co-founder bamboozled with their company. Since April 23, 2023, I have been a fan of Ganesh Bahia.""
Being a student of business and management I suggest to everyone invest your time in here in order to high growth and learning perspective....
❤from a Village of W.Bengal.."
@esakirajas2350,Good 👍😊
@hivelx,Good one but this documentary is very late
@venstomon931,In the modern world many are making money out of thin air and making fool of investors
@sriramskoda,Get rid of unethical person from company or else you might get rid of our company soon. Is one of the strongest message to an entrepreneurs. 😊😊 😊
@suryamalla2162,It’s similar to SPV in India
@tradinginvesting6579,Can you make a video on Ashneer Grover for the recent news?
@darkprince2703,The founder is still a billionaire so not that bad if you do it
@vjyslm,"Hai....
Very very good chapter
I am comparing with our startup chaai sutta bar with wework.

That was very good case study
Wishing you all the best 🎉"
@anandkakarla5821,Amazing learning in simple terms… hats off Learning School
@vimalrajs3014,"I think Adam wisely followed ""Business Entity Concept"", to benefit himself !"
@rickbhattacharya2334,This is a common Sillicon valley pump and dump scheme of most current start-ups. They don't make a single $ and live off investor money. When that's about to dry up founders and early investors leave with fat stacks and rest goes to hell.
